id;name;manufacturer;caliber;weight_grains;bc_g1;bc_g7;type;quantity;cost_per_unit;notes;bc_segments_json;source;source_version;external_id;external_ref;source_kind;evidence_level;display_name;source_label;profile_json;raw_json;diameter_mm;diameter_in;diameter_source;length_mm;length_source;recommended_twist;raw_type;profile_type;base_type;tip_type;shape_family;construction_type;intended_use;inference_confidence;bc_segment_count;profile_keys;raw_keys;minimum_expansion_fps;preferred_impact_min_fps;preferred_impact_max_fps;terminal_notes;geometry_notes
329;MONO RN;A-Square;.284;175.0;0.292;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.284|175.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 7.21, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".284"", ""gdia"": 7.21, ""glen"": 25.4, ""gmass"": 175, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.292, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 36}";7.21;0.2839;profile_json;25.4;profile_json;12.1;;;flat_base;hollow_or_tipped;round_nose;monolithic;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1900.0;2000.0;3200.0;monolithic profile;Greenhill ca. 1:12.1 | flat base | monolithic | monolithic profile
311;DeadTough;A-Square;.308;180.0;0.249;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|DeadTough|.308|180.0;reference_memory_dump;memory_extracted;A-Square DeadTough;Internal reference seed;"{""diameter_mm"": 7.82, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""DeadTough"", ""lotid"": """", ""caliber"": "".308"", ""gdia"": 7.82, ""glen"": 25.4, ""gmass"": 180, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.249, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 18}";7.82;0.3079;profile_json;25.4;profile_json;14.2;;;;;hunting;hunting_jacketed;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1600.0;1750.0;3000.0;traditional hunting profile;Greenhill ca. 1:14.2 | hunting jacketed | traditional hunting profile
350;MONO RN;A-Square;.308;180.0;0.249;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.308|180.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 7.82, ""length_mm"": 26.2, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".308"", ""gdia"": 7.82, ""glen"": 26.2, ""gmass"": 180, ""gpressure"": 270, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.249, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 57}";7.82;0.3079;profile_json;26.2;profile_json;13.8;;;flat_base;hollow_or_tipped;round_nose;monolithic;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1900.0;2000.0;3200.0;monolithic profile;Greenhill ca. 1:13.8 | flat base | monolithic | monolithic profile
330;MONO RN;A-Square;.308;220.0;0.297;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.308|220.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 7.82, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".308"", ""gdia"": 7.82, ""glen"": 25.4, ""gmass"": 220, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.297, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 37}";7.82;0.3079;profile_json;25.4;profile_json;14.2;;;flat_base;hollow_or_tipped;round_nose;monolithic;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1900.0;2000.0;3200.0;monolithic profile;Greenhill ca. 1:14.2 | flat base | monolithic | monolithic profile
331;MONO RN;A-Square;.323;220.0;0.285;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.323|220.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 8.2, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".323"", ""gdia"": 8.2, ""glen"": 25.4, ""gmass"": 220, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.285, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 38}";8.2;0.3228;profile_json;25.4;profile_json;15.6;;;flat_base;hollow_or_tipped;round_nose;monolithic;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1900.0;2000.0;3200.0;monolithic profile;Greenhill ca. 1:15.6 | flat base | monolithic | monolithic profile
294;DeadTough;A-Square;.338;250.0;0.3;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|DeadTough|.338|250.0;reference_memory_dump;memory_extracted;A-Square DeadTough;Internal reference seed;"{""diameter_mm"": 8.59, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""DeadTough"", ""lotid"": """", ""caliber"": "".338"", ""gdia"": 8.59, ""glen"": 25.4, ""gmass"": 250, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.3, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 1}";8.59;0.3382;profile_json;25.4;profile_json;17.2;;;;;hunting;hunting_jacketed;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1600.0;1750.0;3000.0;traditional hunting profile;Greenhill ca. 1:17.2 | hunting jacketed | traditional hunting profile
312;LionLoad;A-Square;.338;250.0;0.3;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|LionLoad|.338|250.0;reference_memory_dump;memory_extracted;A-Square LionLoad;Internal reference seed;"{""diameter_mm"": 8.59, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""LionLoad"", ""lotid"": """", ""caliber"": "".338"", ""gdia"": 8.59, ""glen"": 25.4, ""gmass"": 250, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.3, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 19}";8.59;0.3382;profile_json;25.4;profile_json;17.2;;;;;;;;low;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;;;;;Greenhill ca. 1:17.2
332;MONO RN;A-Square;.338;250.0;0.3;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.338|250.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 8.59, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".338"", ""gdia"": 8.59, ""glen"": 25.4, ""gmass"": 250, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.3, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 39}";8.59;0.3382;profile_json;25.4;profile_json;17.2;;;flat_base;hollow_or_tipped;round_nose;monolithic;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1900.0;2000.0;3200.0;monolithic profile;Greenhill ca. 1:17.2 | flat base | monolithic | monolithic profile
295;DeadTough;A-Square;.358;275.0;0.293;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|DeadTough|.358|275.0;reference_memory_dump;memory_extracted;A-Square DeadTough;Internal reference seed;"{""diameter_mm"": 9.09, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""DeadTough"", ""lotid"": """", ""caliber"": "".358"", ""gdia"": 9.09, ""glen"": 25.4, ""gmass"": 275, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.293, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 2}";9.09;0.3579;profile_json;25.4;profile_json;19.2;;;;;hunting;hunting_jacketed;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1600.0;1750.0;3000.0;traditional hunting profile;Greenhill ca. 1:19.2 | hunting jacketed | traditional hunting profile
313;LionLoad;A-Square;.358;275.0;0.293;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|LionLoad|.358|275.0;reference_memory_dump;memory_extracted;A-Square LionLoad;Internal reference seed;"{""diameter_mm"": 9.09, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""LionLoad"", ""lotid"": """", ""caliber"": "".358"", ""gdia"": 9.09, ""glen"": 25.4, ""gmass"": 275, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.293, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 20}";9.09;0.3579;profile_json;25.4;profile_json;19.2;;;;;;;;low;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;;;;;Greenhill ca. 1:19.2
333;MONO RN;A-Square;.358;275.0;0.293;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.358|275.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 9.09, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".358"", ""gdia"": 9.09, ""glen"": 25.4, ""gmass"": 275, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.293, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 40}";9.09;0.3579;profile_json;25.4;profile_json;19.2;;;flat_base;hollow_or_tipped;round_nose;monolithic;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1900.0;2000.0;3200.0;monolithic profile;Greenhill ca. 1:19.2 | flat base | monolithic | monolithic profile
296;DeadTough;A-Square;.366;286.0;0.279;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|DeadTough|.366|286.0;reference_memory_dump;memory_extracted;A-Square DeadTough;Internal reference seed;"{""diameter_mm"": 9.3, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""DeadTough"", ""lotid"": """", ""caliber"": "".366"", ""gdia"": 9.3, ""glen"": 25.4, ""gmass"": 286, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.279, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 3}";9.3;0.3661;profile_json;25.4;profile_json;20.1;;;;;hunting;hunting_jacketed;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1600.0;1750.0;3000.0;traditional hunting profile;Greenhill ca. 1:20.1 | hunting jacketed | traditional hunting profile
314;LionLoad;A-Square;.366;286.0;0.279;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|LionLoad|.366|286.0;reference_memory_dump;memory_extracted;A-Square LionLoad;Internal reference seed;"{""diameter_mm"": 9.3, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""LionLoad"", ""lotid"": """", ""caliber"": "".366"", ""gdia"": 9.3, ""glen"": 25.4, ""gmass"": 286, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.279, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 21}";9.3;0.3661;profile_json;25.4;profile_json;20.1;;;;;;;;low;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;;;;;Greenhill ca. 1:20.1
334;MONO RN;A-Square;.366;286.0;0.279;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|MONO RN|.366|286.0;reference_memory_dump;memory_extracted;A-Square MONO RN;Internal reference seed;"{""diameter_mm"": 9.3, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""MONO RN"", ""lotid"": """", ""caliber"": "".366"", ""gdia"": 9.3, ""glen"": 25.4, ""gmass"": 286, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.279, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 41}";9.3;0.3661;profile_json;25.4;profile_json;20.1;;;flat_base;hollow_or_tipped;round_nose;monolithic;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1900.0;2000.0;3200.0;monolithic profile;Greenhill ca. 1:20.1 | flat base | monolithic | monolithic profile
297;DeadTough;A-Square;.375;300.0;0.284;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|DeadTough|.375|300.0;reference_memory_dump;memory_extracted;A-Square DeadTough;Internal reference seed;"{""diameter_mm"": 9.52, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""DeadTough"", ""lotid"": """", ""caliber"": "".375"", ""gdia"": 9.52, ""glen"": 25.4, ""gmass"": 300, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.284, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 4}";9.52;0.3748;profile_json;25.4;profile_json;21.1;;;;;hunting;hunting_jacketed;hunting;high;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;1600.0;1750.0;3000.0;traditional hunting profile;Greenhill ca. 1:21.1 | hunting jacketed | traditional hunting profile
315;LionLoad;A-Square;.375;300.0;0.284;;;0;;Imported from internal reference seed.;;reference_memory_import;reference_memory_import.v1;;reference_memory_dump|bullet|A-Square|LionLoad|.375|300.0;reference_memory_dump;memory_extracted;A-Square LionLoad;Internal reference seed;"{""diameter_mm"": 9.52, ""length_mm"": 25.4, ""tail_dia_a_mm"": null, ""tail_dia_b_mm"": null, ""tail_height_mm"": null, ""tail_type"": null, ""ubcs"": null}";"{""id"": null, ""mname"": ""A-Square"", ""pname"": ""LionLoad"", ""lotid"": """", ""caliber"": "".375"", ""gdia"": 9.52, ""glen"": 25.4, ""gmass"": 300, ""gpressure"": 250, ""gfriction"": 0, ""gtaildiaA"": 0, ""gtaildiaB"": 0, ""gtailh"": 0, ""gtailtype"": 0, ""gdepthmax"": 0, ""g1bc"": 0.284, ""g7bc"": 0, ""gUBCS"": """", ""cdate"": ""2021-10-08"", ""cby"": ""GRT"", ""mdate"": """", ""mby"": """", ""type"": """", ""mode"": ""0"", ""status"": """", ""origin"": """", ""descr"": """", ""imageUuid"": """", ""geloescht"": 0, ""rowid"": 22}";9.52;0.3748;profile_json;25.4;profile_json;21.1;;;;;;;;low;0;diameter_mm, length_mm, tail_dia_a_mm, tail_dia_b_mm, tail_height_mm, tail_type, ubcs;caliber, cby, cdate, descr, g1bc, g7bc, gUBCS, gdepthmax, gdia, geloescht, gfriction, glen, gmass, gpressure, gtaildiaA, gtaildiaB, gtailh, gtailtype, id, imageUuid, lotid, mby, mdate, mname, mode, origin, pname, rowid, status, type;;;;;Greenhill ca. 1:21.1
